curva_i,curva_j,pearson,dtw
"(2, 2, 1)","(2, 8, 6)",0.12459082,63.18720806390047
"(2, 2, 1)","(2, 8, 7)",0.06106442,33.77721929550171
"(2, 2, 1)","(2, 8, 8)",0.082590654,55.29401820152998
"(2, 2, 1)","(2, 9, 0)",0.016061632,58.48192360252142
"(2, 2, 1)","(2, 9, 1)",0.25581026,65.00744066387415
"(2, 2, 1)","(2, 9, 2)",0.07952297,45.48735286295414
"(2, 2, 1)","(2, 9, 3)",0.047643106,78.65987249463797
"(2, 2, 1)","(2, 9, 4)",0.015932154,57.289954636245966
"(2, 2, 1)","(2, 9, 5)",0.14548819,32.77989620342851
"(2, 2, 1)","(2, 9, 6)",0.065549225,77.54819070547819
"(2, 2, 1)","(2, 9, 7)",-0.01887094,47.599297910928726
"(2, 2, 1)","(2, 9, 8)",-0.058161832,65.49331783503294
"(2, 2, 1)","(3, 2, 0)",0.12843055,15.32343902811408
"(2, 2, 1)","(3, 2, 1)",0.62707907,19.26043389737606
"(2, 2, 1)","(3, 2, 2)",-0.027239095,16.96382439136505
"(2, 2, 1)","(3, 2, 3)",-0.0953733,18.576196432113647
"(2, 2, 1)","(3, 2, 4)",-0.08195068,18.60683613270521
"(2, 2, 1)","(3, 2, 5)",0.035901397,15.635434687137604
"(2, 2, 1)","(3, 2, 6)",0.18159875,18.27709861844778
"(2, 2, 1)","(3, 2, 7)",0.08976596,21.640143301337957
"(2, 2, 1)","(3, 2, 8)",-0.051386274,31.418482210487127
"(2, 2, 1)","(3, 3, 0)",-0.027266158,39.58771929144859
"(2, 2, 1)","(3, 3, 1)",0.3028294,37.63483126461506
"(2, 2, 1)","(3, 3, 2)",-0.020754958,51.344108909368515
"(2, 2, 1)","(3, 3, 3)",0.018873846,98.22035385668278
"(2, 2, 1)","(3, 3, 4)",0.22024085,51.631878800690174
"(2, 2, 1)","(3, 3, 5)",0.044731215,33.39535119011998
"(2, 2, 1)","(3, 3, 6)",0.10806424,69.31912275403738
"(2, 2, 1)","(3, 3, 7)",0.20251353,36.97606090456247
"(2, 2, 1)","(3, 3, 8)",0.0022791517,54.89411795139313
"(2, 2, 1)","(3, 4, 0)",0.0066762366,44.247555926442146
"(2, 2, 1)","(3, 4, 1)",0.21930633,45.2805021032691
"(2, 2, 1)","(3, 4, 2)",-0.04781468,55.01920521259308
"(2, 2, 1)","(3, 4, 3)",0.027503522,86.94923277199268
"(2, 2, 1)","(3, 4, 4)",0.23329921,52.220410883426666
"(2, 2, 1)","(3, 4, 5)",0.03699613,37.428560107946396
"(2, 2, 1)","(3, 4, 6)",0.15020107,72.98275801539421
"(2, 2, 1)","(3, 4, 7)",0.19925934,34.50094048678875
"(2, 2, 1)","(3, 4, 8)",0.014541993,57.65565972775221
"(2, 2, 1)","(3, 5, 0)",0.005963642,44.38105729967356
"(2, 2, 1)","(3, 5, 1)",0.20292117,42.376085951924324
"(2, 2, 1)","(3, 5, 2)",-0.054562513,58.45078557729721
"(2, 2, 1)","(3, 5, 3)",0.037534863,79.73497016727924
